County_FIPS,D,I,R
37111.0,23.75,2.01,74.22
37113.0,27.92,2.65,69.42
37115.0,35.55,3.02,61.41
37117.0,49.05,1.38,49.56
37119.0,63.28,3.3,33.41
37121.0,19.94,1.73,78.32
37123.0,35.88,2.36,61.75
37125.0,33.82,2.77,63.4
37127.0,49.08,1.57,49.34
37129.0,46.18,3.54,50.27
37131.0,62.62,0.94,36.43
37133.0,30.98,3.37,65.64
37135.0,74.03,2.94,23.01
37137.0,35.83,1.77,62.38
37139.0,49.84,2.51,47.64
37141.0,33.56,2.47,63.96
37143.0,34.73,2.44,62.82
37145.0,40.26,2.14,57.58
37147.0,52.34,2.69,44.96
37149.0,34.64,2.51,62.83
37151.0,20.55,2.17,77.27
37153.0,44.06,1.72,54.21
37155.0,46.57,1.98,51.43
37157.0,33.97,2.06,63.96
37159.0,30.45,2.34,67.19
37161.0,25.03,2.07,72.88
37163.0,40.9,1.52,57.57
37165.0,52.96,1.83,45.2
37167.0,23.79,2.22,73.98
37169.0,20.94,2.52,76.53
37171.0,23.49,2.3,74.2
37173.0,36.54,3.99,59.46
37175.0,37.38,2.74,59.86
37177.0,41.47,1.58,56.94
37179.0,32.86,3.16,63.96
37181.0,61.57,1.46,36.95
37183.0,58.39,3.71,37.89
37185.0,65.86,1.51,32.61
37187.0,57.07,1.06,41.86
37189.0,48.5,4.5,46.99
37191.0,43.19,1.89,54.91
37193.0,21.38,2.05,76.55
37195.0,51.94,1.74,46.31
37197.0,18.09,2.27,79.62
37199.0,32.43,2.65,64.91
38001.0,17.91,1.7775,74.95
38003.0,30.4,2.375,60.07
38005.0,43.4,2.2,47.78
38007.0,9.79,1.7675,83.1
38009.0,21.35,1.6025,72.21
38011.0,12.83,1.365,81.68
38013.0,11.44,0.8225,85.25
38015.0,23.17,1.8675,69.33
38017.0,39.7,2.4625,50.42
38019.0,24.17,1.735,68.86
38021.0,23.22,1.735,69.81
38023.0,20.47,1.7625,72.45
38025.0,16.18,1.0175,79.71
38027.0,29.04,1.535,64.8
38029.0,10.97,0.915,85.34
38031.0,20.36,1.7,72.8
38033.0,10.5,1.3225,84.18
38035.0,36.44,2.1475,54.94
38037.0,13.73,1.3925,80.67
38039.0,23.89,2.0425,67.92
38041.0,13.32,1.2025,81.83
38043.0,13.18,1.3375,81.44
38045.0,23.64,1.6475,69.73
38047.0,10.87,1.2325,84.17
38049.0,17.64,2.0575,74.09
38051.0,16.37,1.665,76.95
38053.0,15.15,1.285,79.69
38055.0,20.55,1.48,73.51
38057.0,13.49,1.27,81.39
38059.0,19.79,1.845,72.8
38061.0,30.2,1.5325,63.63
38063.0,31.64,1.96,60.5
38065.0,11.87,1.39,82.53
38067.0,22.01,1.675,71.25
38069.0,21.33,1.925,70.94
38071.0,28.84,2.3775,61.63
38073.0,36.08,2.93,52.17
38075.0,15.93,1.5275,77.92
38077.0,27.66,2.13,63.79
38079.0,57.26,2.4175,33.04
38081.0,35.03,2.4875,55.0
38083.0,12.14,1.1575,83.2
38085.0,64.4,3.455,21.75
38087.0,9.83,1.4,84.54
38089.0,14.4,1.34,80.21
38091.0,36.68,2.18,54.57
38093.0,24.99,1.8775,67.47
38095.0,26.82,2.1725,64.46
38097.0,32.06,2.3375,58.56
38099.0,25.66,2.12,65.83
38101.0,21.56,2.295,69.24
38103.0,17.81,1.4825,76.23
38105.0,13.74,1.54,80.07
