County_FIPS,total_pop,pct_male,pct_female,pct_old,pct_latino,pct_white,pct_black
21215,17419,50.2,49.8,14.6,1.7,94.8,1.5
21217,25059,48.5,51.5,19.9,2.0,90.5,4.6
21219,12499,50.2,49.8,17.2,4.0,86.1,8.5
21221,14277,49.7,50.3,24.8,1.5,88.3,8.2
21223,8816,49.9,50.1,18.1,3.1,96.3,0.2
21225,15192,51.2,48.8,17.8,1.8,83.1,12.8
21227,117169,48.8,51.2,14.1,4.9,80.9,9.3
21229,11871,49.4,50.6,20.9,3.6,88.1,6.0
21231,20728,49.7,50.3,22.4,2.9,94.0,2.0
21233,13454,49.9,50.1,19.4,4.5,89.4,4.8
21235,35557,49.0,51.0,17.8,1.0,96.4,0.8
21237,7273,49.3,50.7,20.3,0.2,98.9,0.2
21239,25151,48.5,51.5,18.3,6.6,86.3,4.9
22001,62031,48.5,51.5,16.1,2.0,78.0,17.6
22003,25691,57.9,42.1,16.0,5.2,70.5,18.8
22005,112308,49.4,50.6,12.3,4.9,70.2,22.3
22007,23170,48.0,52.0,18.5,2.3,66.3,29.7
22009,41604,50.1,49.9,18.0,1.6,66.0,29.4
22011,36109,51.0,49.0,17.1,3.2,80.0,13.0
22013,14122,48.0,52.0,23.3,1.6,54.5,42.3
22015,121918,49.4,50.6,14.9,6.2,68.6,21.1
22017,255529,47.5,52.5,17.4,2.6,47.0,47.5
22019,194943,48.8,51.2,16.7,2.8,69.0,24.8
22021,10008,51.9,48.1,20.6,2.6,78.9,17.4
22023,6713,49.7,50.3,19.5,2.1,94.5,3.1
22025,10273,53.2,46.8,18.8,1.1,65.8,31.5
22027,16817,56.6,43.4,20.0,1.3,46.5,50.1
22029,20609,50.7,49.3,18.5,1.1,57.0,40.8
22031,26968,47.9,52.1,19.4,2.6,57.0,38.2
22033,443598,48.0,52.0,14.8,3.8,46.2,45.2
22035,7602,56.3,43.7,14.8,2.8,26.7,69.9
22037,19964,53.6,46.4,18.7,1.2,52.8,45.0
22039,33778,50.9,49.1,16.9,2.4,67.9,28.2
22041,20645,48.6,51.4,20.1,0.4,66.2,32.7
22043,22363,56.5,43.5,16.0,4.5,76.7,15.5
22045,73735,48.8,51.2,15.8,3.5,60.1,31.7
22047,33375,51.1,48.9,16.9,2.3,47.9,48.6
22049,16199,51.1,48.9,21.1,1.5,66.7,30.2
22051,434528,48.5,51.5,17.9,13.2,54.9,25.9
