State,County,Party,St_FIPS,County_FIPS,Candidate,Votes,Percentage
ok,1st District,GOP,40,,,Winner J. Bridenstine,63.5%,   180886
ok,1st District,Dem,40,,,J. Olson,32.0%,    91310
ok,1st District,Ind,40,,,C. Allen,4.5%,    12786
ok,2nd District,GOP,40,,,Winner M. Mullin,57.3%,   143253
ok,2nd District,Dem,40,,,R. Wallace,38.3%,    95763
ok,2nd District,Ind,40,,,M. Fulks,4.3%,    10794
ok,3rd District,GOP,40,,,Winner F. Lucas (i),75.3%,   200963
ok,3rd District,Dem,40,,,T. Murray,20.0%,    53295
ok,3rd District,Ind,40,,,W. Sanders,4.8%,    12756
ok,4th District,GOP,40,,,Winner T. Cole (i),67.9%,   176561
ok,4th District,Dem,40,,,D. Bebo,27.6%,    71755
ok,4th District,Ind,40,,,R. Harris,4.5%,    11725
ok,5th District,GOP,40,,,Winner J. Lankford (i),58.7%,   153421
ok,5th District,Dem,40,,,T. Guild,37.3%,    97359
ok,5th District,Ind,40,,,P. Martin,2.1%,     5380
ok,5th District,Ind,40,,,R. Murphy,2.0%,     5162
or,1st District,Dem,41,,,Winner S. Bonamici (i),59.7%,   186060
or,1st District,GOP,41,,,D. Morgan,33.1%,   103194
or,1st District,Prg,41,,,S. Reynolds,4.4%,    13824
or,1st District,CST,41,,,B. Ekstrom,2.7%,     8351
or,2nd District,GOP,41,,,Winner G. Walden (i),69.0%,   222575
or,2nd District,Dem,41,,,J. Segers,29.0%,    93451
or,2nd District,Lib,41,,,J. Tabor,2.1%,     6756
or,3rd District,Dem,41,,,Winner E. Blumenauer (i),74.6%,   257460
or,3rd District,GOP,41,,,R. Green,19.9%,    68839
or,3rd District,PAG,41,,,W. Broadnax,3.6%,    12599
or,3rd District,Lib,41,,,M. Cline,1.8%,     6374
or,4th District,Dem,41,,,Winner P. DeFazio (i),59.1%,   208906
or,4th District,GOP,41,,,A. Robinson,39.2%,   138351
or,4th District,Lib,41,,,C. Huntting,1.7%,     6055
or,5th District,Dem,41,,,Winner K. Schrader (i),54.1%,   173620
or,5th District,GOP,41,,,F. Thompson,42.6%,   136620
or,5th District,PAG,41,,,C. Lugo,2.3%,     7282
or,5th District,CST,41,,,R. Baldwin,1.1%,     3485
pa,1st District,Dem,42,,,Winner R. Brady (i),85.0%,   225985
pa,1st District,GOP,42,,,J. Featherman,15.0%,    39736
pa,2nd District,Dem,42,,,Winner C. Fattah (i),89.4%,   301869
pa,2nd District,GOP,42,,,R. Mansfield,9.4%,    31648
pa,2nd District,Ind,42,,,J. Foster,1.3%,     4243
pa,3rd District,GOP,42,,,Winner M. Kelly (i),54.7%,   160149
pa,3rd District,Dem,42,,,M. Eaton,41.1%,   120142
pa,3rd District,Ind,42,,,S. Porter,4.2%,    12352
pa,4th District,GOP,42,,,Winner S. Perry,59.7%,   179340
pa,4th District,Dem,42,,,H. Perkinson,34.4%,   103387
pa,4th District,Ind,42,,,W. Wolff,3.8%,    11425
pa,4th District,Lib,42,,,M. Koffenberger,2.0%,     6135
pa,5th District,GOP,42,,,Winner G. Thompson (i),62.9%,   172042
pa,5th District,Dem,42,,,C. Dumas,37.1%,   101615
pa,6th District,GOP,42,,,Winner J. Gerlach (i),57.0%,   183647
pa,6th District,Dem,42,,,M. Trivedi,43.0%,   138688
pa,7th District,GOP,42,,,Winner P. Meehan (i),59.5%,   203977
pa,7th District,Dem,42,,,G. Badey,40.5%,   139067
pa,8th District,GOP,42,,,Winner M. Fitzpatrick (i),56.6%,   199283
pa,8th District,Dem,42,,,K. Boockvar,43.4%,   152515
pa,9th District,GOP,42,,,Winner B. Shuster (i),61.6%,   166038
pa,9th District,Dem,42,,,K. Ramsburg,38.4%,   103420
pa,10th District,GOP,42,,,Winner T. Marino (i),65.9%,   176273
pa,10th District,Dem,42,,,P. Scollo,34.1%,    91355
pa,11th District,GOP,42,,,Winner L. Barletta (i),58.5%,   163733
pa,11th District,Dem,42,,,G. Stilp,41.5%,   116315
pa,12th District,GOP,42,,,Winner K. Rothfus,51.8%,   173340
pa,12th District,Dem,42,,,M. Critz (i),48.2%,   161397
pa,13th District,Dem,42,,,Winner A. Schwartz (i),68.9%,   204686
pa,13th District,GOP,42,,,J. Rooney,31.1%,    92308
pa,14th District,Dem,42,,,Winner M. Doyle (i),76.9%,   249012
pa,14th District,GOP,42,,,H. Lessmann,23.1%,    74955
pa,15th District,GOP,42,,,Winner C. Dent (i),56.7%,   165629
pa,15th District,Dem,42,,,R. Daugherty,43.3%,   126661
pa,16th District,GOP,42,,,Winner J. Pitts (i),55.0%,   154337
pa,16th District,Dem,42,,,A. Strader,38.9%,   109026
pa,16th District,Ind,42,,,J. Murphy,4.3%,    12058
pa,16th District,Ind,42,,,J. Bednarski,1.8%,     5093
pa,17th District,Dem,42,,,Winner M. Cartwright,60.5%,   157629
pa,17th District,GOP,42,,,L. Cummings,39.5%,   102754
pa,18th District,GOP,42,,,Winner T. Murphy (i),64.0%,   212712
pa,18th District,Dem,42,,,L. Maggi,36.0%,   119791
ri,1st District,Dem,44,,,Winner D. Cicilline (i),52.4%,   106044
ri,1st District,GOP,44,,,B. Doherty,41.5%,    84018
ri,1st District,Ind,44,,,D. Vogel,6.1%,    12326
ri,2nd District,Dem,44,,,Winner J. Langevin (i),55.7%,   121556
ri,2nd District,GOP,44,,,M. Riley,35.2%,    76852
ri,2nd District,Ind,44,,,A. Collins,9.1%,    19877
sc,1st District,GOP,45,,,Winner T. Scott (i),62.4%,   176738
sc,1st District,Dem,45,,,B. Rose,35.4%,   100351
sc,1st District,Lib,45,,,K. Blandford,2.2%,     6250
sc,2nd District,GOP,45,,,Winner J. Wilson (i),0.0%,        0
sc,3rd District,GOP,45,,,Winner J. Duncan (i),66.7%,   168780
sc,3rd District,Dem,45,,,B. Doyle,33.3%,    84312
sc,4th District,GOP,45,,,Winner T. Gowdy (i),65.0%,   171505
sc,4th District,Dem,45,,,D. Morrow,33.8%,    89094
sc,4th District,Grn,45,,,J. Sumerel,1.3%,     3341
sc,5th District,GOP,45,,,Winner M. Mulvaney (i),55.6%,   153047
sc,5th District,Dem,45,,,J. Knott,44.4%,   122268
sc,6th District,Dem,45,,,Winner J. Clyburn (i),94.4%,   213953
sc,6th District,Grn,45,,,N. Muhammad,5.6%,    12713
sc,7th District,GOP,45,,,Winner T. Rice,54.9%,   147750
sc,7th District,Dem,45,,,G. Tinubu,45.1%,   121418
sd,At-Large,GOP,46,,,Winner K. Noem (i),57.5%,   207581
sd,At-Large,Dem,46,,,M. Varilek,42.5%,   153725
tn,1st District,GOP,47,,,Winner P. Roe (i),76.1%,   182186
tn,1st District,Dem,47,,,A. Woodruff,19.9%,    47597
tn,1st District,Ind,47,,,K. Brackett,2.0%,     4834
tn,1st District,Grn,47,,,R. Smith,1.2%,     2870
tn,1st District,Ind,47,,,M. Salyer,0.9%,     2042
tn,2nd District,GOP,47,,,Winner J. Duncan (i),74.5%,   193312
tn,2nd District,Dem,47,,,T. Goodale,20.5%,    53336
tn,2nd District,Grn,47,,,N. Dryer,2.2%,     5639
tn,2nd District,Ind,47,,,G. Samples,1.7%,     4324
tn,2nd District,Ind,47,,,B. Stewart,1.1%,     2934
tn,3rd District,GOP,47,,,Winner C. Fleischmann (i),61.5%,   157725
tn,3rd District,Dem,47,,,M. Headrick,35.5%,    91031
tn,3rd District,Ind,47,,,M. Deniston,3.1%,     7897
tn,4th District,GOP,47,,,Winner S. DesJarlais (i),55.8%,   128500
tn,4th District,Dem,47,,,E. Stewart,44.2%,   101944
tn,5th District,Dem,47,,,Winner J. Cooper (i),65.2%,   166999
tn,5th District,GOP,47,,,B. Staats,32.8%,    83982
tn,5th District,Grn,47,,,J. Miglietta,2.0%,     5058
tn,6th District,GOP,47,,,Winner D. Black (i),76.6%,   184264
tn,6th District,Ind,47,,,S. Beasley,14.4%,    34746
tn,6th District,Grn,47,,,P. Riley,9.0%,    21613
tn,7th District,GOP,47,,,Winner M. Blackburn (i),71.0%,   180775
tn,7th District,Dem,47,,,C. Amouzouvik,24.0%,    61050
tn,7th District,Grn,47,,,H. Switzer,1.8%,     4584
tn,7th District,Ind,47,,,J. Arnold,1.7%,     4219
tn,7th District,Ind,47,,,W. Akin,1.1%,     2728
tn,7th District,Ind,47,,,L. Ladner,0.5%,     1249
tn,8th District,GOP,47,,,Winner S. Fincher (i),68.3%,   190571
tn,8th District,Dem,47,,,T. Dixon,28.4%,    79347
tn,8th District,Ind,47,,,J. Hart,2.2%,     6132
tn,8th District,Ind,47,,,M. Rawles,1.0%,     2864
tn,9th District,Dem,47,,,Winner S. Cohen (i),75.1%,   188245
tn,9th District,GOP,47,,,G. Flinn,23.8%,    59676
tn,9th District,Ind,47,,,B. Saulsberry,0.6%,     1444
tn,9th District,Ind,47,,,G. Joiner,0.5%,     1368
tx,1st District,GOP,48,,,Winner L. Gohmert (i),71.7%,   182621
tx,1st District,Dem,48,,,S. McKellar,26.6%,    67758
tx,1st District,Lib,48,,,C. Patterson,1.6%,     4161
tx,2nd District,GOP,48,,,Winner T. Poe (i),64.8%,   159369
tx,2nd District,Dem,48,,,J. Dougherty,32.7%,    80262
tx,2nd District,Lib,48,,,K. Duncan,1.7%,     4131
tx,2nd District,Grn,48,,,M. Roberts,0.8%,     1999
tx,3rd District,GOP,48,,,Winner S. Johnson (i),0.0%,        0
tx,4th District,GOP,48,,,Winner R. Hall (i),73.0%,   182416
tx,4th District,Dem,48,,,V. Hathcox,24.1%,    60124
tx,4th District,Lib,48,,,T. Griffing,2.9%,     7246
tx,5th District,GOP,48,,,Winner J. Hensarling (i),64.4%,   134005
tx,5th District,Dem,48,,,L. Mrosko,33.2%,    69025
tx,5th District,Lib,48,,,K. Ashby,2.4%,     4957
tx,6th District,GOP,48,,,Winner J. Barton (i),58.0%,   144892
tx,6th District,Dem,48,,,K. Sanders,39.2%,    97933
tx,6th District,Lib,48,,,H. Chauvin,1.9%,     4843
tx,6th District,Grn,48,,,B. Parmer,0.8%,     2015
tx,7th District,GOP,48,,,Winner J. Culberson (i),60.8%,   142477
tx,7th District,Dem,48,,,J. Cargas,36.4%,    85253
tx,7th District,Lib,48,,,D. Parks,2.0%,     4654
tx,7th District,Grn,48,,,L. Findley,0.8%,     1811
tx,8th District,GOP,48,,,Winner K. Brady (i),77.4%,   191254
tx,8th District,Dem,48,,,N. Burns,20.3%,    50077
tx,8th District,Lib,48,,,R. Hall,2.4%,     5851
tx,9th District,Dem,48,,,Winner A. Green (i),78.5%,   143850
tx,9th District,GOP,48,,,S. Mueller,19.7%,    36073
tx,9th District,Grn,48,,,V. Foster,0.9%,     1738
tx,9th District,Lib,48,,,J. Wieder,0.9%,     1604
tx,10th District,GOP,48,,,Winner M. McCaul (i),60.6%,   159391
tx,10th District,Dem,48,,,T. Cadien,36.2%,    95316
tx,10th District,Lib,48,,,R. Priest,3.2%,     8497
tx,11th District,GOP,48,,,Winner M. Conaway (i),78.6%,   177166
tx,11th District,Dem,48,,,J. Riley,18.6%,    41842
tx,11th District,Lib,48,,,S. Ballard,2.8%,     6283
tx,12th District,GOP,48,,,Winner K. Granger (i),70.9%,   175298
tx,12th District,Dem,48,,,D. Robinson,26.7%,    65991
tx,12th District,Lib,48,,,M. Solodow,2.4%,     5968
tx,13th District,GOP,48,,,Winner M. Thornberry (i),91.0%,   187385
tx,13th District,Lib,48,,,J. Deek,6.2%,    12671
tx,13th District,Grn,48,,,K. Houston,2.9%,     5895
tx,14th District,GOP,48,,,Winner R. Weber,53.5%,   130937
tx,14th District,Dem,48,,,N. Lampson,44.6%,   109264
tx,14th District,Lib,48,,,Z. Grady,1.5%,     3594
tx,14th District,Grn,48,,,R. Smith,0.4%,     1053
tx,15th District,Dem,48,,,Winner R. Hinojosa (i),60.9%,    89143
tx,15th District,GOP,48,,,D. Brueggemann,36.8%,    53892
tx,15th District,Lib,48,,,R. Finch,2.3%,     3302
tx,16th District,Dem,48,,,Winner B. O'Rourke,65.5%,   100804
tx,16th District,GOP,48,,,B. Carrasco,32.8%,    50478
tx,16th District,Lib,48,,,J. Sodoy,1.6%,     2529
tx,17th District,GOP,48,,,Winner B. Flores (i),79.9%,   143126
tx,17th District,Lib,48,,,B. Easton,20.1%,    35902
tx,18th District,Dem,48,,,Winner S. Jackson Lee (i),75.0%,   145893
tx,18th District,GOP,48,,,S. Seibert,22.6%,    43926
tx,18th District,Lib,48,,,C. Barber,2.4%,     4678
tx,19th District,GOP,48,,,Winner R. Neugebauer (i),85.0%,   160067
tx,19th District,Lib,48,,,C. Peterson,15.0%,    28345
tx,20th District,Dem,48,,,Winner J. Castro,64.0%,   118719
tx,20th District,GOP,48,,,D. Rosa,33.4%,    62041
tx,20th District,Lib,48,,,T. Potts,1.7%,     3117
tx,20th District,Grn,48,,,A. Diaz,0.9%,     1621
tx,21st District,GOP,48,,,Winner L. Smith (i),60.6%,   186525
tx,21st District,Dem,48,,,C. Duval,35.4%,   108852
tx,21st District,Lib,48,,,J. Liberty,4.1%,    12469
tx,22nd District,GOP,48,,,Winner P. Olson (i),64.1%,   160471
tx,22nd District,Dem,48,,,K. Rogers,31.9%,    80025
tx,22nd District,Lib,48,,,S. Susman,2.4%,     5973
tx,22nd District,Grn,48,,,D. Cook,1.6%,     4050
tx,23rd District,Dem,48,,,Winner P. Gallego,50.3%,    96477
tx,23rd District,GOP,48,,,Q. Canseco (i),45.5%,    87255
tx,23rd District,Lib,48,,,J. Blunt,3.0%,     5827
tx,23rd District,Grn,48,,,E. Scharf,1.1%,     2099
tx,24th District,GOP,48,,,Winner K. Marchant (i),61.0%,   148207
tx,24th District,Dem,48,,,T. Rusk,36.0%,    87347
tx,24th District,Lib,48,,,J. Stathas,3.0%,     7226
tx,25th District,GOP,48,,,Winner R. Williams,58.5%,   153868
tx,25th District,Dem,48,,,E. Henderson,37.4%,    98427
tx,25th District,Lib,48,,,B. Dewey,4.1%,    10822
tx,26th District,GOP,48,,,Winner M. Burgess (i),68.3%,   175669
tx,26th District,Dem,48,,,D. Sanchez,28.6%,    73661
tx,26th District,Lib,48,,,M. Boler,3.0%,     7780
tx,27th District,GOP,48,,,Winner B. Farenthold (i),56.7%,   120490
tx,27th District,Dem,48,,,R. Harrison,39.2%,    83280
tx,27th District,Ind,48,,,B. Baldwin,2.5%,     5345
tx,27th District,Lib,48,,,C. Byrd,1.5%,     3208
tx,28th District,Dem,48,,,Winner H. Cuellar (i),67.9%,   112262
tx,28th District,GOP,48,,,W. Hayward,29.7%,    49095
tx,28th District,Lib,48,,,P. Hisel,1.5%,     2453
tx,28th District,Grn,48,,,M. Cary,0.8%,     1403
tx,29th District,Dem,48,,,Winner G. Green (i),90.0%,    85920
tx,29th District,Lib,48,,,J. Stanczak,5.2%,     4988
tx,29th District,Grn,48,,,M. Selva,4.8%,     4550
tx,30th District,Dem,48,,,Winner E. Johnson (i),78.9%,   169889
tx,30th District,GOP,48,,,T. Washington,19.0%,    40841
tx,30th District,Lib,48,,,E. Rankin,2.2%,     4693
tx,31st District,GOP,48,,,Winner J. Carter (i),61.3%,   145096
tx,31st District,Dem,48,,,S. Wyman,35.0%,    82791
tx,31st District,Lib,48,,,E. Garofolo,3.7%,     8846
tx,32nd District,GOP,48,,,Winner P. Sessions (i),58.3%,   146129
tx,32nd District,Dem,48,,,K. McGovern,39.4%,    98867
tx,32nd District,Lib,48,,,S. Hollist,2.3%,     5664
tx,33rd District,Dem,48,,,Winner M. Veasey,72.5%,    84940
tx,33rd District,GOP,48,,,C. Bradley,25.7%,    30152
tx,33rd District,Grn,48,,,E. Lindsay,1.7%,     2006
tx,34th District,Dem,48,,,Winner F. Vela,62.2%,    88781
tx,34th District,GOP,48,,,J. Bradshaw,35.9%,    51338
tx,34th District,Lib,48,,,Z. Shanklin,1.9%,     2685
tx,35th District,Dem,48,,,Winner L. Doggett (i),64.0%,   105260
tx,35th District,GOP,48,,,S. Narvaiz,32.0%,    52686
tx,35th District,Lib,48,,,R. Leone,2.5%,     4063
tx,35th District,Grn,48,,,M. Owen,1.5%,     2528
tx,36th District,GOP,48,,,Winner S. Stockman,70.8%,   165388
tx,36th District,Dem,48,,,M. Martin,26.6%,    62052
tx,36th District,Lib,48,,,M. Cole,2.7%,     6274
ut,1st District,GOP,49,,,Winner R. Bishop (i),71.5%,   161546
ut,1st District,Dem,49,,,D. McAleer,24.7%,    55740
ut,1st District,CST,49,,,S. Phipps,3.8%,     8603
ut,2nd District,GOP,49,,,Winner C. Stewart,62.3%,   139860
ut,2nd District,Dem,49,,,J. Seegmiller,33.6%,    75399
ut,2nd District,CST,49,,,J. Garrard,1.9%,     4298
ut,2nd District,Una,49,,,J. Andrade,1.2%,     2615
ut,2nd District,Una,49,,,C. Kimball,1.1%,     2449
ut,3rd District,GOP,49,,,Winner J. Chaffetz (i),76.4%,   180760
ut,3rd District,Dem,49,,,S. Simonsen,23.6%,    55879
ut,4th District,Dem,49,,,Winner J. Matheson (i),49.3%,   108275
ut,4th District,GOP,49,,,M. Love,48.1%,   105629
ut,4th District,Lib,49,,,J. Vein,2.6%,     5703
va,1st District,GOP,51,,,Winner R. Wittman (i),56.1%,   200736
va,1st District,Dem,51,,,A. Cook,41.0%,   146844
va,1st District,IGr,51,,,G. Parker,2.9%,    10295
va,2nd District,GOP,51,,,Winner S. Rigell (i),53.8%,   164977
va,2nd District,Dem,51,,,P. Hirschbiel,46.2%,   141697
va,3rd District,Dem,51,,,Winner B. Scott (i),81.2%,   246155
va,3rd District,GOP,51,,,D. Longo,18.8%,    57007
va,4th District,GOP,51,,,Winner R. Forbes (i),57.1%,   198999
va,4th District,Dem,51,,,E. Ward,42.9%,   149504
va,5th District,GOP,51,,,Winner R. Hurt (i),55.3%,   192020
va,5th District,Dem,51,,,J. Douglass,43.2%,   149906
va,5th District,IGr,51,,,K. Hildebrandt,1.6%,     5439
va,6th District,GOP,51,,,Winner B. Goodlatte (i),65.6%,   209701
va,6th District,Dem,51,,,A. Schmookler,34.4%,   109929
va,7th District,GOP,51,,,Winner E. Cantor (i),58.6%,   222345
va,7th District,Dem,51,,,W. Powell,41.4%,   157249
va,8th District,Dem,51,,,Winner J. Moran (i),64.6%,   210347
va,8th District,GOP,51,,,P. Murray,30.7%,    99964
va,8th District,Ind,51,,,J. Howell,3.0%,     9763
va,8th District,IGr,51,,,J. Murphy,1.7%,     5665
va,9th District,GOP,51,,,Winner M. Griffith (i),61.2%,   183278
va,9th District,Dem,51,,,A. Flaccavento,38.8%,   115972
va,10th District,GOP,51,,,Winner F. Wolf (i),58.8%,   201937
va,10th District,Dem,51,,,K. Cabral,38.4%,   131875
va,10th District,Ind,51,,,K. Chisholm,2.8%,     9496
va,11th District,Dem,51,,,Winner G. Connolly (i),61.0%,   176686
va,11th District,GOP,51,,,C. Perkins,35.5%,   102970
va,11th District,Ind,51,,,M. Gibson,1.2%,     3478
va,11th District,Ind,51,,,C. DeCarlo,1.0%,     2785
va,11th District,Grn,51,,,J. Galdo,0.7%,     2000
va,11th District,IGr,51,,,P. Marchetti,0.6%,     1790
vt,At-Large,Dem,50,,,Winner P. Welch (i),72.0%,   209271
vt,At-Large,GOP,50,,,M. Donka,23.2%,    67511
vt,At-Large,Ind,50,,,S. Desrochers,2.9%,     8281
vt,At-Large,LUn,50,,,J. Newton,1.5%,     4221
vt,At-Large,Ind,50,,,A. LaFramboise,0.4%,     1176
wa,1st District,Dem,53,,,Winner S. DelBene,53.6%,   161018
wa,1st District,GOP,53,,,J. Koster,46.4%,   139199
wa,1st District Special Election,Dem,53,,,Winner S. DelBene,60.2%,   197502
wa,1st District Special Election,GOP,53,,,J. Koster,39.8%,   130721
wa,2nd District,Dem,53,,,Winner R. Larsen (i),60.9%,   169097
wa,2nd District,GOP,53,,,D. Matthews,39.1%,   108785
wa,3rd District,GOP,53,,,Winner J. Herrera Beutler (i),60.1%,   167322
wa,3rd District,Dem,53,,,J. Haugen,39.9%,   110974
wa,4th District,GOP,53,,,Winner D. Hastings (i),66.7%,   144790
wa,4th District,Dem,53,,,M. Baechler,33.3%,    72189
wa,5th District,GOP,53,,,Winner C. McMorris Rodgers (i),62.1%,   177481
wa,5th District,Dem,53,,,R. Cowan,37.9%,   108548
wa,6th District,Dem,53,,,Winner D. Kilmer,59.0%,   178701
wa,6th District,GOP,53,,,B. Driscoll,41.0%,   124378
wa,7th District,Dem,53,,,Winner J. McDermott (i),79.5%,   268234
wa,7th District,GOP,53,,,R. Bemis,20.5%,    69332
wa,8th District,GOP,53,,,Winner D. Reichert (i),59.9%,   170595
wa,8th District,Dem,53,,,K. Porterfield,40.1%,   114047
wa,9th District,Dem,53,,,Winner A. Smith (i),71.4%,   175273
wa,9th District,GOP,53,,,J. Postma,28.6%,    70126
wa,10th District,Dem,53,,,Winner D. Heck,58.2%,   153066
wa,10th District,GOP,53,,,D. Muri,41.8%,   109784
wi,1st District,GOP,55,,,Winner P. Ryan (i),54.9%,   199715
wi,1st District,Dem,55,,,R. Zerban,43.4%,   157721
wi,1st District,Lib,55,,,K. Deschler,1.7%,     6029
wi,2nd District,Dem,55,,,Winner M. Pocan,68.0%,   264790
wi,2nd District,GOP,55,,,C. Lee,32.0%,   124465
wi,3rd District,Dem,55,,,Winner R. Kind (i),64.1%,   217328
wi,3rd District,GOP,55,,,R. Boland,35.9%,   121536
wi,4th District,Dem,55,,,Winner G. Moore (i),72.3%,   234823
wi,4th District,GOP,55,,,D. Sebring,24.8%,    80637
wi,4th District,Ind,55,,,R. Raymond,2.8%,     9253
wi,5th District,GOP,55,,,Winner J. Sensenbrenner (i),67.9%,   249267
wi,5th District,Dem,55,,,D. Heaster,32.1%,   117972
wi,6th District,GOP,55,,,Winner T. Petri (i),62.1%,   223514
wi,6th District,Dem,55,,,J. Kallas,37.9%,   136146
wi,7th District,GOP,55,,,Winner S. Duffy (i),56.1%,   201318
wi,7th District,Dem,55,,,P. Kreitlow,43.9%,   157340
wi,8th District,GOP,55,,,Winner R. Ribble (i),55.9%,   198464
wi,8th District,Dem,55,,,J. Wall,44.1%,   156371
wv,1st District,GOP,54,,,Winner D. McKinley (i),62.5%,   130783
wv,1st District,Dem,54,,,S. Thorn,37.5%,    78474
wv,2nd District,GOP,54,,,Winner S. Capito (i),69.8%,   156920
wv,2nd District,Dem,54,,,H. Swint,30.2%,    67965
wv,3rd District,Dem,54,,,Winner N. Rahall (i),53.9%,   107302
wv,3rd District,GOP,54,,,R. Snuffer,46.1%,    91602
wy,At-Large,GOP,56,,,Winner C. Lummis (i),69.1%,   165773
wy,At-Large,Dem,56,,,C. Henrichsen,23.8%,    57148
wy,At-Large,Lib,56,,,R. Brubaker,3.5%,     8398
wy,At-Large,CST,56,,,D. Cummings,2.1%,     4939
wy,At-Large,WYC,56,,,D. Wills,1.6%,     3750
