co,District 6,Grn,08,Robert Lee Worthey,1.43,5038
co,District 7,D,08,Ed Perlmutter,55.23,185208
co,District 7,R,08,George Athanasopoulos,40.03,134244
co,District 7,Lib,08,Martin Buchanan,4.72,15831
ct,District 1,D,09,John Larson,63.59,193040
ct,District 1,R,09,Matthew Corey,34.33,104214
ct,District 1,Grn,09,Michael DeRosa,2.06,6283
ct,District 2,D,09,Joe Courtney,62.99,207584
ct,District 2,R,09,Daria Novak,33.86,111587
ct,District 2,Grn,09,Jonathan Pelto,1.61,5332
ct,District 2,Lib,09,Daniel Reale,1.52,5016
ct,District 3,D,09,Rosa DeLauro,68.65,208900
ct,District 3,R,09,Angel Cadena,31.34,95370
ct,District 4,D,09,Jim Himes,60.06,185928
ct,District 4,R,09,John Shaban,39.93,123630
ct,District 5,D,09,Elizabeth Esty,57.94,174788
ct,District 5,R,09,Clay Cope,42.05,126842
de,District 1,R,10,Hans Reigle,40.96,172290
de,District 1,D,10,Lisa Rochester,55.52,233542
de,District 1,Grn,10,Mark Perri,1.97,8325
de,District 1,Lib,10,Scott Gesty,1.53,6436
fl,District 1,R,12,Matt Gaetz,69.12,254280
fl,District 1,D,12,Steven Specht,30.87,113586
fl,District 2,R,12,Neal Dunn,67.33,230838
fl,District 2,D,12,Walter Dartland,29.92,102596
fl,District 2,Lib,12,Rob Lapham,2.73,9384
fl,District 3,R,12,Ted Yoho,56.61,193261
fl,District 3,D,12,Ken McGurn,39.74,135688
fl,District 3,NPA,12,Tom Wells,3.64,12438
fl,District 4,R,12,John Rutherford,70.22,286018
fl,District 4,D,12,David Bruderly,27.56,112253
fl,District 4,NPA,12,Gary Koniz,2.2,8990
fl,District 5,D,12,Al Lawson,64.21,193430
fl,District 5,R,12,Glo Smith,35.78,107784
fl,District 6,R,12,Ron DeSantis,58.58,213180
fl,District 6,D,12,Bill McCullough,41.41,150677
fl,District 7,D,12,Stephanie Murphy,51.46,181758
fl,District 7,R,12,John Mica,48.53,171412
fl,District 8,R,12,Bill Posey,63.11,246257
fl,District 8,D,12,Corry Westbrook,32.54,126962
fl,District 8,NPA,12,Bill Stinson,4.33,16924
fl,District 9,D,12,Darren Soto,57.46,194963
fl,District 9,R,12,Wayne Liebnitzky,42.53,144281
fl,District 10,D,12,Val Demings,64.86,198309
fl,District 10,R,12,Thuy Lowe,35.13,107423
fl,District 11,R,12,Daniel Webster,65.37,257881
fl,District 11,D,12,Dave Koller,31.58,124599
fl,District 11,NPA,12,Bruce Ray Riggs,3.03,11961
fl,District 12,R,12,Gus Bilirakis,68.61,253347
fl,District 12,D,12,Robert Tager,31.38,115909
fl,District 13,D,12,Charlie Crist,51.88,184371
fl,District 13,R,12,David Jolly,48.11,170964
fl,District 14,D,12,Kathy Castor,61.77,194851
fl,District 14,R,12,Christine Quinn,38.22,120584
fl,District 15,R,12,Dennis Ross,57.49,182498
fl,District 15,D,12,Jim Lange,42.5,134945
fl,District 16,R,12,Vern Buchanan,59.78,230187
fl,District 16,D,12,Jan Schneider,40.21,154854
fl,District 17,R,12,Tom Rooney,61.82,209135
fl,District 17,D,12,April Freeman,34.23,115801
fl,District 17,NPA,12,John Sawyer,3.94,13336
fl,District 18,R,12,Brian Mast,53.63,201011
fl,District 18,D,12,Randy Perkins,43.04,161328
fl,District 18,NPA,12,Carla Spalding,3.32,12451
fl,District 19,R,12,Francis Rooney,65.9,238975
fl,District 19,D,12,Robert Neeld,34.09,123625
fl,District 20,D,12,Alcee Hastings,80.3,220452
fl,District 20,R,12,Gary Stein,19.69,54079
fl,District 21,D,12,Lois Frankel,62.68,208999
fl,District 21,R,12,Paul Spain,35.17,117273
fl,District 21,NPA,12,Michael Trout,2.14,7148
fl,District 22,D,12,Ted Deutch,58.9,197396
fl,District 22,R,12,Andrea McGee,41.09,137691
fl,District 23,D,12,Debbie Wasserman Schultz,56.67,180979
fl,District 23,R,12,Joe Kaufman,40.52,129400
fl,District 23,NPA,12,Don Endriss,1.59,5100
fl,District 23,NPA,12,Lyle Milstein,1.2,3835
fl,District 24,D,12,Frederica Wilson,0,0
fl,District 25,R,12,Mario Diaz-Balart,62.41,157748
fl,District 25,D,12,Alina Valdes,37.58,95008
fl,District 26,R,12,Carlos Curbelo,52.96,148445
fl,District 26,D,12,Joe Garcia,41.15,115348
fl,District 26,NPA,12,Jose Peixoto,5.88,16491
fl,District 27,R,12,Ileana Ros-Lehtinen,54.91,157763
fl,District 27,D,12,Scott Fuhrman,45.08,129548
ga,District 1,R,13,Buddy Carter,0,0
ga,District 2,R,13,Greg Duke,38.96,93392
ga,District 2,D,13,Sanford Bishop,61.03,146284
ga,District 3,R,13,Drew Ferguson,68.36,206930
ga,District 3,D,13,Angela Pendley,31.63,95736
ga,District 4,D,13,Hank Johnson,75.62,214278
ga,District 4,R,13,Victor Armendariz,24.37,69075
ga,District 5,D,13,John Lewis,84.59,241773
ga,District 5,R,13,Douglas Bell,15.4,44032
ga,District 6,R,13,Tom Price,61.6,191792
ga,District 6,D,13,Rodney Stooksbury,38.39,119536
ga,District 7,R,13,Rob Woodall,60.45,173638
ga,District 7,D,13,Rashid Malik,39.54,113593
ga,District 8,R,13,Austin Scott,67.68,171529
ga,District 8,D,13,James Harris,32.31,81903
ga,District 9,R,13,Doug Collins,0,0
ga,District 10,R,13,Jody Hice,0,0
ga,District 11,R,13,Barry Loudermilk,67.49,216772
ga,District 11,D,13,Don Wilson,32.5,104401
ga,District 12,R,13,Rick Allen,61.61,158705
ga,District 12,D,13,Tricia McCracken,38.38,98870
ga,District 13,D,13,David Scott,0,0
ga,District 14,R,13,Tom Graves,0,0
hi,District 1,D,15,Colleen Hanabusa,71.91,135069
hi,District 1,R,15,Shirlene Ostrov,22.66,42569
hi,District 1,Lib,15,Alan Yim,3.26,6127
hi,District 1,NP,15,Calvin Griffin,2.15,4040
hi,District 2,D,15,Tulsi Gabbard,81.1,163484
hi,District 2,R,15,Angela Kaaihue,18.89,38098
ia,District 1,R,19,Rod Blum,53.89,206273
ia,District 1,D,19,Monica Vernon,46.1,176447
ia,District 2,R,19,Christopher Peters,46.29,170529
ia,District 2,D,19,Dave Loebsack,53.7,197802
ia,District 3,R,19,David Young,53.5,208264
ia,District 3,D,19,Jim Mowrer,39.76,154780
ia,District 3,Lib,19,Bryan Holder,3.94,15337
ia,District 3,PEC,19,Claudia Addy,1.62,6335
ia,District 3,PEC,19,Joe Grandanette,1.15,4511
