State,County,Party,St_FIPS,County_FIPS,Candidate,Percentage,Votes
in,Parke,R,18,18121,Daniels,54%,3745
in,Parke,Democratic,18,18121,Kernan,45%,3101
in,Parke,Libertarian,18,18121,Gividen,1%,108
in,Perry,Democratic,18,18123,Kernan,56%,4640
in,Perry,R,18,18123,Daniels,43%,3559
in,Perry,Libertarian,18,18123,Gividen,1%,64
in,Pike,Democratic,18,18125,Kernan,57%,3510
in,Pike,R,18,18125,Daniels,41%,2517
in,Pike,Libertarian,18,18125,Gividen,2%,99
in,Porter,Democratic,18,18127,Kernan,55%,35206
in,Porter,R,18,18127,Daniels,43%,27565
in,Porter,Libertarian,18,18127,Gividen,2%,1108
in,Posey,R,18,18129,Daniels,53%,6252
in,Posey,Democratic,18,18129,Kernan,46%,5525
in,Posey,Libertarian,18,18129,Gividen,1%,109
in,Pulaski,R,18,18131,Daniels,58%,3185
in,Pulaski,Democratic,18,18131,Kernan,41%,2267
in,Pulaski,Libertarian,18,18131,Gividen,1%,61
in,Putnam,R,18,18133,Daniels,61%,8002
in,Putnam,Democratic,18,18133,Kernan,38%,4984
in,Putnam,Libertarian,18,18133,Gividen,1%,185
in,Randolph,R,18,18135,Daniels,57%,6274
in,Randolph,Democratic,18,18135,Kernan,42%,4628
in,Randolph,Libertarian,18,18135,Gividen,1%,146
in,Ripley,R,18,18137,Daniels,59%,6925
in,Ripley,Democratic,18,18137,Kernan,40%,4635
in,Ripley,Libertarian,18,18137,Gividen,1%,151
in,Rush,R,18,18139,Daniels,62%,4529
in,Rush,Democratic,18,18139,Kernan,36%,2676
in,Rush,Libertarian,18,18139,Gividen,2%,116
in,Scott,Democratic,18,18143,Kernan,54%,4681
in,Scott,R,18,18143,Daniels,45%,3862
in,Scott,Libertarian,18,18143,Gividen,1%,90
in,Shelby,R,18,18145,Daniels,62%,9862
in,Shelby,Democratic,18,18145,Kernan,37%,5885
in,Shelby,Libertarian,18,18145,Gividen,1%,194
in,Spencer,R,18,18147,Daniels,52%,5183
in,Spencer,Democratic,18,18147,Kernan,47%,4612
in,Spencer,Libertarian,18,18147,Gividen,1%,114
in,St. Joseph,Democratic,18,18141,Kernan,54%,58327
in,St. Joseph,R,18,18141,Daniels,45%,49198
in,St. Joseph,Libertarian,18,18141,Gividen,1%,1000
in,Starke,Democratic,18,18149,Kernan,52%,4539
in,Starke,R,18,18149,Daniels,46%,4024
in,Starke,Libertarian,18,18149,Gividen,2%,131
in,Steuben,R,18,18151,Daniels,60%,7684
in,Steuben,Democratic,18,18151,Kernan,39%,4915
in,Steuben,Libertarian,18,18151,Gividen,1%,165
in,Sullivan,Democratic,18,18153,Kernan,54%,4530
in,Sullivan,R,18,18153,Daniels,44%,3687
in,Sullivan,Libertarian,18,18153,Gividen,2%,116
in,Switzerland,R,18,18155,Daniels,49%,1780
in,Switzerland,Democratic,18,18155,Kernan,50%,1780
in,Switzerland,Libertarian,18,18155,Gividen,1%,48
in,Tippecanoe,R,18,18157,Daniels,55%,28458
