GEO.id,County_FIPS,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
0500000US48439,48439,"Tarrant County, Texas",1262323,628,89983,5486,94570,5010,303857,8350,294286,8411,91120,4779,265390,8398,123117,5129
0500000US48441,48441,"Taylor County, Texas",82234,644,3874,966,5133,1005,25202,1995,21437,1796,7812,1352,12612,1906,6164,990
0500000US48449,48449,"Titus County, Texas",20152,509,2689,717,2780,740,6522,1016,4205,924,1255,513,1597,552,1104,414
0500000US48451,48451,"Tom Green County, Texas",75367,531,6481,1176,6048,1238,22114,2474,17349,1917,5565,1140,12505,1959,5305,1263
0500000US48453,48453,"Travis County, Texas",795105,465,55341,4453,37295,4022,138823,6388,141407,5829,47314,3561,243554,7151,131371,6195
0500000US48457,48457,"Tyler County, Texas",13820,1145,545,383,1556,616,6887,1096,3160,926,658,318,777,440,237,188
0500000US48459,48459,"Upshur County, Texas",27440,363,1739,732,2012,717,7876,1184,7951,1258,2665,963,3571,1109,1626,601
0500000US48463,48463,"Uvalde County, Texas",16029,1259,2679,930,1188,651,4180,1659,3857,1129,1075,607,2491,727,559,354
0500000US48465,48465,"Val Verde County, Texas",29206,753,6508,997,4532,1350,6973,1224,4304,1125,1687,717,4074,940,1128,548
0500000US48467,48467,"Van Zandt County, Texas",36011,563,1871,615,4233,1088,12561,1606,8282,1454,3315,1005,4196,856,1553,575
0500000US48469,48469,"Victoria County, Texas",59641,577,4314,1038,5096,1026,18399,2060,12857,1260,5583,1051,8855,1316,4537,959
0500000US48471,48471,"Walker County, Texas",44958,1143,3435,939,4004,895,16530,2092,8574,1523,2173,746,7784,2021,2458,896
0500000US48473,48473,"Waller County, Texas",27293,1020,2905,801,3888,1105,6928,1343,5423,1156,2146,816,4569,923,1434,554
0500000US48477,48477,"Washington County, Texas",22018,1983,1337,742,1569,898,6861,1213,4960,1387,1548,713,4376,1298,1367,754
0500000US48479,48479,"Webb County, Texas",147672,515,28659,2621,20893,2491,40592,3114,23210,2557,8673,1562,18454,2584,7191,1659
0500000US48481,48481,"Wharton County, Texas",26522,658,2803,758,2115,624,9510,1358,6375,1200,2283,724,2383,709,1053,493
0500000US48485,48485,"Wichita County, Texas",84077,784,5731,1349,8558,1275,26580,1824,18319,1751,6097,1056,12360,1570,6432,1302
0500000US48489,48489,"Willacy County, Texas",14326,1899,3801,891,1141,523,5892,1475,1777,696,603,364,1014,530,98,135
0500000US48491,48491,"Williamson County, Texas",332667,1103,10219,2058,12702,2123,67749,4912,76938,4386,30581,3502,88275,4646,46203,3680
0500000US48493,48493,"Wilson County, Texas",31426,835,1714,629,2353,701,11807,1422,7062,1223,2522,987,3827,1026,2141,676
0500000US48497,48497,"Wise County, Texas",41492,495,1958,737,5214,1196,13445,1460,11141,1414,2490,743,5286,1184,1958,763
0500000US48499,48499,"Wood County, Texas",31450,679,1965,607,3047,963,10174,1423,9454,1157,2135,716,3329,842,1346,561
0500000US49003,49003,"Box Elder County, Utah",31075,343,104,109,1577,510,11290,1026,8039,994,2780,691,4910,877,2375,616
0500000US49005,49005,"Cache County, Utah",60571,864,2643,871,1716,512,13582,1390,15983,1466,5691,1036,14045,1402,6911,1076
0500000US49007,49007,"Carbon County, Utah",13355,516,315,245,800,334,2908,784,4694,887,2108,547,1920,562,610,284
0500000US49011,49011,"Davis County, Utah",193212,876,2844,947,7578,1580,39560,3128,51294,3041,22032,1842,48865,2935,21039,2173
0500000US49013,49013,"Duchesne County, Utah",12620,813,297,215,948,280,5314,728,2878,491,1085,343,1458,384,640,364
0500000US49021,49021,"Iron County, Utah",27261,512,401,264,1210,560,7986,1306,7848,1162,1243,451,5580,1093,2993,845
0500000US49035,49035,"Salt Lake County, Utah",687924,774,24274,3586,43615,4372,169366,6546,164376,5977,58973,3539,147696,5401,79624,4113
0500000US49039,49039,"Sanpete County, Utah",16539,415,1001,388,1023,379,4482,817,5185,755,1719,442,2052,480,1077,348
0500000US49041,49041,"Sevier County, Utah",12970,288,156,153,782,276,3916,554,4364,579,1756,389,1346,369,650,242
0500000US49043,49043,"Summit County, Utah",26280,362,453,428,681,515,4385,1030,4942,941,2063,650,7879,1016,5877,1060
0500000US49045,49045,"Tooele County, Utah",36085,730,578,299,2241,755,9002,1407,11699,1560,3481,877,6327,1135,2757,789
